Task,Title,Source,Date,Link,Technology,Chenhao Vote,Brian Vote,Avg
Detecting credit card payment fraud,Algorithms With Minds of Their Own,Wall Street Journal,17-Nov,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1963060805?accountid=14503,,1,2,1.5
Identifying high-risk/suspicious airline passengers,Algorithms With Minds of Their Own,Wall Street Journal,17-Nov,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1963060805?accountid=14503,,1,2,1.5
Analyzing medical studies to identify new molecules or drugs to develop into therapies,Artificial Intelligence (A Special Report) --- Seven Jobs Robots Will Create -- Or Expand,Wall Street Journal,18-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327194?accountid=14503,,3,1,2
Suggesting automatic replies to text messages you receive,"Google Takes on Apple, Facebook With Allo and Duo Chat Apps; Artificial intelligence and strong security among new offerings' selling points",Wall Street Journal,16-May,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1789562680?accountid=14503,,1,2,1.5
Editing your photos ,Google Photos Review: Why Google Beats Apple at Organizing Your Life's Memories,Wall Street Journal,15-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1685006277?accountid=14503,,1,3,2
Creating digital highlight “trip stories” or video overviews out of your vacation photos,Google Photos Review: Why Google Beats Apple at Organizing Your Life's Memories,Wall Street Journal,15-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1685006277?accountid=14503,,1,2,1.5
"Organizing and recognizing people, places, and objects in your photos to let you search your photos with keywords",Google Photos Review: Why Google Beats Apple at Organizing Your Life's Memories,Wall Street Journal,15-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1685006277?accountid=14503,,1,1,1
Making a dinner reservation,Google's New Products Reflect Push Into Machine Learning,Wall Street Journal,16-May,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1789680638?accountid=14503,,1,3,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
Voice-based virtual assistants,,,,,,1,,
Google assistant capabilities?,,,,,,1,,
Mopping/vacuuming rooms,,,,,,1,,
Monitor legal compliance within a company,,,,,,3,,
Monitoring power plant operation for anomalies,,,,,,1,,
Quality assurance: detecting manufacturing defects on products in factories,,,,,,1,,
